SEQUÊNCIA,DATAFATO,HORAFATO,GRUPOFATO,TIPOENQUADRAMENTO,TIPOFATO,MUNICIPIOFATO,LOCALFATO,BAIRRO,QUANTIDADEVÍTIMAS,IDADEVÍTIMA,SEXOVÍTIMA,CORVÍTIMA,data_nova,mes,dia,ano,mes_ano,data_tempo_num,hora,periodo,periodo1,mes_ano2
330077,05/06/2024,16:20:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,42,Masculino,Sem informação,2024-06-05,6,5,2024,773,1960-01-01T16:20:00Z,16,16,2,jun 2024
330364,05/06/2024,18:40:00,CRIMES,INJURIA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,65,Feminino,Branca,2024-06-05,6,5,2024,773,1960-01-01T18:40:00Z,18,18,3,jun 2024
330801,06/06/2024,00:01:00,CRIMES,PORNOGRAFIA INFANTO-JUVENIL,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-06-06,6,6,2024,773,1960-01-01T00:01:00Z,0,0,9,jun 2024
330806,06/06/2024,00:10:00,CRIMES,FURTO SIMPLES EM RESIDENCIA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-06-06,6,6,2024,773,1960-01-01T00:10:00Z,0,0,9,jun 2024
331108,06/06/2024,08:30:00,CONTRAVENCOES,VIAS DE FATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,13,Masculino,Parda,2024-06-06,6,6,2024,773,1960-01-01T08:30:00Z,8,8,1,jun 2024
331218,06/06/2024,09:30:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,49,Feminino,Sem informação,2024-06-06,6,6,2024,773,1960-01-01T09:30:00Z,9,9,1,jun 2024
331227,06/06/2024,09:30:00,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,61,Feminino,Branca,2024-06-06,6,6,2024,773,1960-01-01T09:30:00Z,9,9,1,jun 2024
331257,06/06/2024,10:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,1,50,Masculino,Branca,2024-06-06,6,6,2024,773,1960-01-01T10:00:00Z,10,10,1,jun 2024
331321,06/06/2024,10:00:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,36,Feminino,Sem informação,2024-06-06,6,6,2024,773,1960-01-01T10:00:00Z,10,10,1,jun 2024
331373,06/06/2024,10:00:22,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,48,Feminino,Sem informação,2024-06-06,6,6,2024,773,1960-01-01T10:00:22Z,10,10,1,jun 2024
331767,06/06/2024,13:14:26,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,25,Masculino,Sem informação,2024-06-06,6,6,2024,773,1960-01-01T13:14:26Z,13,13,2,jun 2024
331890,06/06/2024,14:00:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,48,Feminino,Branca,2024-06-06,6,6,2024,773,1960-01-01T14:00:00Z,14,14,2,jun 2024
332064,06/06/2024,15:00:26,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,63,Feminino,Sem informação,2024-06-06,6,6,2024,773,1960-01-01T15:00:26Z,15,15,2,jun 2024
332110,06/06/2024,15:30:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,32,Feminino,Sem informação,2024-06-06,6,6,2024,773,1960-01-01T15:30:00Z,15,15,2,jun 2024
332784,06/06/2024,20:00:00,CRIMES,INJURIA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,66,Masculino,Branca,2024-06-06,6,6,2024,773,1960-01-01T20:00:00Z,20,20,3,jun 2024
332831,06/06/2024,20:30:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,46,Feminino,Branca,2024-06-06,6,6,2024,773,1960-01-01T20:30:00Z,20,20,3,jun 2024
333176,07/06/2024,03:00:00,CRIMES,FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,81,Masculino,Branca,2024-06-07,6,7,2024,773,1960-01-01T03:00:00Z,3,3,9,jun 2024
333256,07/06/2024,06:30:00,CRIMES,FURTO/ARROMBAMENTO ESTABELECIMENTO COMERCIAL,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-06-07,6,7,2024,773,1960-01-01T06:30:00Z,6,6,1,jun 2024
333502,07/06/2024,09:00:53,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,77,Feminino,Sem informação,2024-06-07,6,7,2024,773,1960-01-01T09:00:53Z,9,9,1,jun 2024
333940,07/06/2024,12:00:29,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,51,Feminino,Sem informação,2024-06-07,6,7,2024,773,1960-01-01T12:00:29Z,12,12,2,jun 2024
334206,07/06/2024,14:00:31,CRIMES,APROPRIACAO INDEBITA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,58,Feminino,Sem informação,2024-06-07,6,7,2024,773,1960-01-01T14:00:31Z,14,14,2,jun 2024
334330,07/06/2024,15:00:00,CRIMES,FURTO/ARROMBAMENTO DE RESIDENCIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,76,Feminino,Branca,2024-06-07,6,7,2024,773,1960-01-01T15:00:00Z,15,15,2,jun 2024
334401,07/06/2024,15:30:00,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,82,Masculino,Branca,2024-06-07,6,7,2024,773,1960-01-01T15:30:00Z,15,15,2,jun 2024
334567,07/06/2024,16:47:28,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-07,6,7,2024,773,1960-01-01T16:47:28Z,16,16,2,jun 2024
334714,07/06/2024,17:58:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-07,6,7,2024,773,1960-01-01T17:58:00Z,17,17,2,jun 2024
334864,07/06/2024,19:00:00,CRIMES,ROUBO DE CELULAR,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,53,Feminino,Branca,2024-06-07,6,7,2024,773,1960-01-01T19:00:00Z,19,19,3,jun 2024
335470,08/06/2024,02:00:00,CRIMES,FURTO QUALIFICADO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,23,Masculino,Branca,2024-06-08,6,8,2024,773,1960-01-01T02:00:00Z,2,2,9,jun 2024
335548,08/06/2024,03:00:17,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,50,Feminino,Sem informação,2024-06-08,6,8,2024,773,1960-01-01T03:00:17Z,3,3,9,jun 2024
336134,08/06/2024,12:04:00,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,66,Masculino,Branca,2024-06-08,6,8,2024,773,1960-01-01T12:04:00Z,12,12,2,jun 2024
336144,08/06/2024,12:15:00,CRIMES,ESTELIONATO  FRAUDE COM A UTILIZACAO DE ATIVOS VIRTUAIS VALORES MOBILIARIOS OU ATIVOS FINANCEIROS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,61,Feminino,Branca,2024-06-08,6,8,2024,773,1960-01-01T12:15:00Z,12,12,2,jun 2024
336224,08/06/2024,13:14:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-08,6,8,2024,773,1960-01-01T13:14:00Z,13,13,2,jun 2024
336335,08/06/2024,14:25:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-08,6,8,2024,773,1960-01-01T14:25:00Z,14,14,2,jun 2024
336869,08/06/2024,19:24:00,CRIMES,OUTROS FURTOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-06-08,6,8,2024,773,1960-01-01T19:24:00Z,19,19,3,jun 2024
337705,09/06/2024,08:00:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,26,Feminino,Sem informação,2024-06-09,6,9,2024,773,1960-01-01T08:00:00Z,8,8,1,jun 2024
337728,09/06/2024,08:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,65,Feminino,Branca,2024-06-09,6,9,2024,773,1960-01-01T08:30:00Z,8,8,1,jun 2024
337915,09/06/2024,11:00:00,CRIMES,ESBULHO POSSESSORIO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,57,Feminino,Branca,2024-06-09,6,9,2024,773,1960-01-01T11:00:00Z,11,11,1,jun 2024
338399,09/06/2024,17:00:00,CRIMES,DIVULGACAO DE CENA DE ESTUPRO DE SEXO OU DE PORNOGRAFIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,22,Feminino,Branca,2024-06-09,6,9,2024,773,1960-01-01T17:00:00Z,17,17,2,jun 2024
339132,10/06/2024,00:01:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T00:01:00Z,0,0,9,jun 2024
339139,10/06/2024,00:01:00,CRIMES,DENUNCIACAO CALUNIOSA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,46,Feminino,Branca,2024-06-10,6,10,2024,773,1960-01-01T00:01:00Z,0,0,9,jun 2024
339740,10/06/2024,10:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,27,Feminino,Branca,2024-06-10,6,10,2024,773,1960-01-01T10:00:00Z,10,10,1,jun 2024
340063,10/06/2024,11:19:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T11:19:00Z,11,11,1,jun 2024
340103,10/06/2024,11:38:59,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T11:38:59Z,11,11,1,jun 2024
340183,10/06/2024,12:00:00,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,84,Feminino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T12:00:00Z,12,12,2,jun 2024
340246,10/06/2024,12:26:33,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T12:26:33Z,12,12,2,jun 2024
340349,10/06/2024,13:12:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T13:12:00Z,13,13,2,jun 2024
340387,10/06/2024,13:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,38,Masculino,Branca,2024-06-10,6,10,2024,773,1960-01-01T13:30:00Z,13,13,2,jun 2024
340504,10/06/2024,14:00:23,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,77,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T14:00:23Z,14,14,2,jun 2024
340846,10/06/2024,16:10:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-10,6,10,2024,773,1960-01-01T16:10:00Z,16,16,2,jun 2024
340985,10/06/2024,17:20:00,CRIMES,ESTELIONATO  FRAUDE COM A UTILIZACAO DE ATIVOS VIRTUAIS VALORES MOBILIARIOS OU ATIVOS FINANCEIROS,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,81,Masculino,Branca,2024-06-10,6,10,2024,773,1960-01-01T17:20:00Z,17,17,2,jun 2024
341283,10/06/2024,19:30:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,0,NA,,,2024-06-10,6,10,2024,773,1960-01-01T19:30:00Z,19,19,3,jun 2024
341650,10/06/2024,23:32:00,CRIMES,ESTELIONATO  FRAUDE ELETRONICA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,49,Feminino,Branca,2024-06-10,6,10,2024,773,1960-01-01T23:32:00Z,23,23,3,jun 2024
342088,11/06/2024,09:39:18,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,63,Feminino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T09:39:18Z,9,9,1,jun 2024
342286,11/06/2024,10:30:26,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Masculino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T10:30:26Z,10,10,1,jun 2024
342763,11/06/2024,14:00:00,CRIMES,APROPRIACAO INDEBITA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,2,57,Feminino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T14:00:00Z,14,14,2,jun 2024
342795,11/06/2024,14:00:57,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,33,Feminino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T14:00:57Z,14,14,2,jun 2024
342916,11/06/2024,15:00:00,CRIMES,RECEPTACAO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,0,NA,,,2024-06-11,6,11,2024,773,1960-01-01T15:00:00Z,15,15,2,jun 2024
343101,11/06/2024,16:21:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,23,Feminino,Branca,2024-06-11,6,11,2024,773,1960-01-01T16:21:00Z,16,16,2,jun 2024
343494,11/06/2024,19:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,52,Masculino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T19:00:00Z,19,19,3,jun 2024
343732,11/06/2024,21:00:00,CRIMES,ROUBO A PEDESTRE,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,30,Masculino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T21:00:00Z,21,21,3,jun 2024
343810,11/06/2024,22:00:06,CRIMES,PERSEGUICAO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,30,Feminino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T22:00:06Z,22,22,3,jun 2024
343888,11/06/2024,23:59:04,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,75,Feminino,Sem informação,2024-06-11,6,11,2024,773,1960-01-01T23:59:04Z,23,23,3,jun 2024
344470,12/06/2024,10:00:00,CRIMES,FURTO DE VEICULO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,40,Masculino,Branca,2024-06-12,6,12,2024,773,1960-01-01T10:00:00Z,10,10,1,jun 2024
344482,12/06/2024,10:00:00,CRIMES,DIFAMACAO,Consumado,PORTO ALEGRE,ETABELECIMENTO ENSINO,MENINO DEUS,1,39,Masculino,Sem informação,2024-06-12,6,12,2024,773,1960-01-01T10:00:00Z,10,10,1,jun 2024
344508,12/06/2024,10:10:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,21,Feminino,Branca,2024-06-12,6,12,2024,773,1960-01-01T10:10:00Z,10,10,1,jun 2024
344638,12/06/2024,11:10:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-12,6,12,2024,773,1960-01-01T11:10:00Z,11,11,1,jun 2024
344649,12/06/2024,11:20:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,0,NA,,,2024-06-12,6,12,2024,773,1960-01-01T11:20:00Z,11,11,1,jun 2024
344899,12/06/2024,13:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,25,Masculino,Branca,2024-06-12,6,12,2024,773,1960-01-01T13:00:00Z,13,13,2,jun 2024
345430,12/06/2024,16:38:00,CRIMES,PERSEGUICAO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,48,Feminino,Branca,2024-06-12,6,12,2024,773,1960-01-01T16:38:00Z,16,16,2,jun 2024
345615,12/06/2024,18:00:00,CRIMES,FURTO/ARROMBAMENTO DE RESIDENCIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,0,NA,,,2024-06-12,6,12,2024,773,1960-01-01T18:00:00Z,18,18,3,jun 2024
346128,12/06/2024,23:50:00,CRIMES,LESAO CORPORAL,Consumado,PORTO ALEGRE,ESTABELECIMENTO DIVERSAO,MENINO DEUS,1,58,Masculino,Branca,2024-06-12,6,12,2024,773,1960-01-01T23:50:00Z,23,23,3,jun 2024
346468,13/06/2024,08:37:29,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T08:37:29Z,8,8,1,jun 2024
346689,13/06/2024,10:03:00,CONTRAVENCOES,PERTURBACAO DO TRABALHO OU DO SOSSEGO ALHEIOS,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,72,Feminino,Branca,2024-06-13,6,13,2024,773,1960-01-01T10:03:00Z,10,10,1,jun 2024
346705,13/06/2024,10:17:14,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T10:17:14Z,10,10,1,jun 2024
346757,13/06/2024,10:52:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T10:52:00Z,10,10,1,jun 2024
347052,13/06/2024,13:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,72,Feminino,Branca,2024-06-13,6,13,2024,773,1960-01-01T13:00:00Z,13,13,2,jun 2024
347238,13/06/2024,14:14:12,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,27,Feminino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T14:14:12Z,14,14,2,jun 2024
347281,13/06/2024,14:30:48,CRIMES,FURTO DE CELULAR,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,51,Feminino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T14:30:48Z,14,14,2,jun 2024
347331,13/06/2024,15:00:00,CONTRAVENCOES,VIAS DE FATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,52,Masculino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T15:00:00Z,15,15,2,jun 2024
347354,13/06/2024,15:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,48,Masculino,Branca,2024-06-13,6,13,2024,773,1960-01-01T15:00:00Z,15,15,2,jun 2024
347507,13/06/2024,16:00:22,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T16:00:22Z,16,16,2,jun 2024
347862,13/06/2024,19:05:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T19:05:00Z,19,19,3,jun 2024
348122,13/06/2024,22:00:00,CRIMES,OUTROS CRIMES CONTRA A CRIANCA/ADOLESCENTE,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,2,34,Feminino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T22:00:00Z,22,22,3,jun 2024
348233,13/06/2024,23:49:24,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,55,Feminino,Sem informação,2024-06-13,6,13,2024,773,1960-01-01T23:49:24Z,23,23,3,jun 2024
348708,14/06/2024,09:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-14,6,14,2024,773,1960-01-01T09:30:00Z,9,9,1,jun 2024
349161,14/06/2024,12:18:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,38,Feminino,Branca,2024-06-14,6,14,2024,773,1960-01-01T12:18:00Z,12,12,2,jun 2024
349216,14/06/2024,12:49:00,CRIMES,LESAO CORPORAL,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,47,Masculino,Branca,2024-06-14,6,14,2024,773,1960-01-01T12:49:00Z,12,12,2,jun 2024
349374,14/06/2024,14:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,50,Feminino,Sem informação,2024-06-14,6,14,2024,773,1960-01-01T14:00:00Z,14,14,2,jun 2024
349396,14/06/2024,14:00:00,CRIMES,FALSA IDENTIDADE,Consumado,PORTO ALEGRE,ESTABELECIMENTO COMERCIAL,MENINO DEUS,1,55,Masculino,Branca,2024-06-14,6,14,2024,773,1960-01-01T14:00:00Z,14,14,2,jun 2024
349938,14/06/2024,18:03:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,44,Masculino,Sem informação,2024-06-14,6,14,2024,773,1960-01-01T18:03:00Z,18,18,3,jun 2024
350020,14/06/2024,19:00:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,50,Masculino,Preta,2024-06-14,6,14,2024,773,1960-01-01T19:00:00Z,19,19,3,jun 2024
350129,14/06/2024,20:00:00,CRIMES,INJURIA,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,41,Masculino,Branca,2024-06-14,6,14,2024,773,1960-01-01T20:00:00Z,20,20,3,jun 2024
350273,14/06/2024,21:00:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,51,Masculino,Branca,2024-06-14,6,14,2024,773,1960-01-01T21:00:00Z,21,21,3,jun 2024
350779,15/06/2024,03:00:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,31,Masculino,Branca,2024-06-15,6,15,2024,773,1960-01-01T03:00:00Z,3,3,9,jun 2024
351050,15/06/2024,04:18:00,CRIMES,DESACATO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,43,Masculino,Preta,2024-06-15,6,15,2024,773,1960-01-01T04:18:00Z,4,4,9,jun 2024
351337,15/06/2024,09:30:00,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,22,Feminino,Sem informação,2024-06-15,6,15,2024,773,1960-01-01T09:30:00Z,9,9,1,jun 2024
351560,15/06/2024,11:36:19,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,45,Masculino,Sem informação,2024-06-15,6,15,2024,773,1960-01-01T11:36:19Z,11,11,1,jun 2024
351563,15/06/2024,11:40:15,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,57,Feminino,Sem informação,2024-06-15,6,15,2024,773,1960-01-01T11:40:15Z,11,11,1,jun 2024
351639,15/06/2024,12:00:00,CRIMES,INJURIA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,49,Feminino,Branca,2024-06-15,6,15,2024,773,1960-01-01T12:00:00Z,12,12,2,jun 2024
351948,15/06/2024,15:24:39,CRIMES,ESTELIONATO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,52,Feminino,Sem informação,2024-06-15,6,15,2024,773,1960-01-01T15:24:39Z,15,15,2,jun 2024
352979,16/06/2024,06:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,44,Feminino,Parda,2024-06-16,6,16,2024,773,1960-01-01T06:30:00Z,6,6,1,jun 2024
353035,16/06/2024,08:25:00,CRIMES,FURTO/ARROMBAMENTO DE RESIDENCIA,Consumado,PORTO ALEGRE,RESIDENCIA,MENINO DEUS,1,72,Masculino,Branca,2024-06-16,6,16,2024,773,1960-01-01T08:25:00Z,8,8,1,jun 2024
353259,16/06/2024,12:00:03,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,66,Feminino,Sem informação,2024-06-16,6,16,2024,773,1960-01-01T12:00:03Z,12,12,2,jun 2024
353782,16/06/2024,19:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,72,Masculino,Branca,2024-06-16,6,16,2024,773,1960-01-01T19:30:00Z,19,19,3,jun 2024
354080,16/06/2024,23:55:00,CRIMES,FURTO EM VEICULO,Consumado,PORTO ALEGRE,VIA PUBLICA,MENINO DEUS,1,34,Feminino,Parda,2024-06-16,6,16,2024,773,1960-01-01T23:55:00Z,23,23,3,jun 2024
355340,17/06/2024,14:30:00,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,51,Masculino,Branca,2024-06-17,6,17,2024,773,1960-01-01T14:30:00Z,14,14,2,jun 2024
355382,17/06/2024,15:00:00,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,66,Feminino,Branca,2024-06-17,6,17,2024,773,1960-01-01T15:00:00Z,15,15,2,jun 2024
355447,17/06/2024,15:15:00,CRIMES,OUTROS CRIMES,Consumado,PORTO ALEGRE,ETABELECIMENTO ENSINO,MENINO DEUS,1,14,Masculino,Branca,2024-06-17,6,17,2024,773,1960-01-01T15:15:00Z,15,15,2,jun 2024
355565,17/06/2024,16:00:39,CRIMES,DIFAMACAO,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,33,Masculino,Sem informação,2024-06-17,6,17,2024,773,1960-01-01T16:00:39Z,16,16,2,jun 2024
355566,17/06/2024,16:00:54,CRIMES,OUTRAS FRAUDES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,35,Masculino,Sem informação,2024-06-17,6,17,2024,773,1960-01-01T16:00:54Z,16,16,2,jun 2024
355640,17/06/2024,16:55:26,CRIMES,AMEACA,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,47,Masculino,Sem informação,2024-06-17,6,17,2024,773,1960-01-01T16:55:26Z,16,16,2,jun 2024
356643,18/06/2024,09:30:00,CRIMES,FURTO SIMPLES,Consumado,PORTO ALEGRE,OUTROS,MENINO DEUS,1,37,Feminino,Sem informação,2024-06-18,6,18,2024,773,1960-01-01T09:30:00Z,9,9,1,jun 2024
